month,â“ì≠ì˙êî
200101,21
200102,19
200103,21
200104,20
200105,21
200106,21
200107,21
200108,23
200109,19
200110,22
200111,21
200112,20
200201,21
200202,19
200203,20
200204,21
200205,21
200206,20
200207,23
200208,22
200209,19
200210,22
200211,20
200212,21
200301,21
200302,19
200303,20
200304,21
200305,21
200306,21
200307,22
200308,21
200309,20
200310,22
200311,18
200312,22
200401,20
200402,19
200403,23
200404,21
200405,18
200406,22
200407,21
200408,22
200409,20
200410,20
200411,20
200412,22
200501,20
200502,19
200503,22
200504,20
200505,19
200506,22
200507,20
200508,23
200509,20
200510,20
200511,20
200512,21
200601,20
200602,20
200603,22
200604,20
200605,20
200606,22
200607,20
200608,23
200609,20
200610,21
200611,20
200612,21
200701,21
200702,19
200703,21
200704,20
200705,21
200706,21
200707,21
200708,23
200709,18
200710,22
200711,21
200712,20
200801,21
200802,20
200803,20
200804,21
200805,20
200806,21
200807,22
200808,21
200809,20
200810,22
200811,18
200812,22
200901,20
200902,19
200903,21
200904,21
200905,18
200906,22
200907,22
200908,21
200909,19
200910,21
200911,19
200912,22
201001,19
201002,19
201003,22
201004,21
201005,18
201006,22
201007,21
201008,22
201009,20
201010,20
201011,20
201012,22
201101,20
201102,19
201103,22
201104,20
201105,19
201106,22
201107,20
201108,23
201109,20
201110,20
201111,20
201112,21
201201,20
201202,21
201203,21
201204,20
201205,21
201206,21
201207,21
201208,23
201209,19
201210,22
201211,21
201212,20
201301,21
201302,19
201303,20
201304,21
201305,21
201306,20
201307,22
201308,22
201309,19
201310,22
201311,20
201312,21
201401,21
201402,19
201403,20
201404,21
201405,20
201406,21
201407,22
201408,21
201409,20
201410,22
201411,18
201412,22
201501,20
201502,19
201503,22
201504,21
201505,18
201506,22
201507,22
201508,21
201509,19
201510,21
201511,19
201512,22
201601,19
201602,20
201603,22
201604,20
201605,19
201606,22
201607,20
201608,22
201609,20
201610,20
201611,20
201612,21
201701,20
201702,20
201703,22
201704,20
201705,20
201706,22
201707,20
201708,22
201709,20
201710,21
201711,20
201712,21
201801,21
201802,19
201803,21
201804,20
201805,21
201806,21
201807,21
201808,23
201809,18
201810,22
201811,21
201812,20
201901,21
201902,19
201903,20
201904,20
201905,19
201906,20
201907,22
201908,21
201909,19
201910,21
201911,20
201912,22
202001,21
202002,18
202003,21
202004,21
202005,18
202006,22
202007,21
202008,20
202009,20
202010,22
202011,19
202012,23
